url,varianta,format_audit,kb_audit,status_acum,format_crawler_acum,kb_crawler_acum,format_browser,kb_browser,dimensiune_px_servita,peste_200kb_in_browser
https://www.alessandrodesign.ro/cdn/shop/files/a2_4cf3faf1-b3e5-4688-8135-d5aecc4b8a83.png?v=1741868410&width=1445,width=1445,image/png,1187,404,text/html; charset=utf-8,0,text/html; charset=utf-8,0,,nu
https://www.alessandrodesign.ro/cdn/shop/files/Lustra_LED_MORNIKA_12W_lumina_Rece_Calda_Neutra_Alb-mockup2_1.png?v=1742225839&width=1946,width=1946,image/png,1165,200,image/png,1211,image/webp,98,1080x1080,nu
https://www.alessandrodesign.ro/cdn/shop/files/Lustra_LED_MORNIKA_12W_lumina_Rece_Calda_Neutra_Alb-mockup2_1.png?v=1742225839&width=1445,width=1445,image/png,1165,200,image/png,1211,image/webp,98,1080x1080,nu
https://www.alessandrodesign.ro/cdn/shop/files/4dc41980-618f-443a-8f26-71d3e51073a8.png?v=1742395451&width=1445,width=1445,image/png,1148,200,image/png,1213,image/webp,53,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/b4b25579-5505-4463-bc97-eebf7a06fe66.png?v=1741771569&width=1946,width=1946,image/png,1104,200,image/png,1115,image/webp,75,1193x1193,nu
https://www.alessandrodesign.ro/cdn/shop/files/b4b25579-5505-4463-bc97-eebf7a06fe66.png?v=1741771569&width=2048,width=2048,image/png,1104,200,image/png,1115,image/webp,75,1193x1193,nu
https://www.alessandrodesign.ro/cdn/shop/files/b4b25579-5505-4463-bc97-eebf7a06fe66.png?v=1741771569,original,image/png,1104,200,image/png,1115,image/webp,75,1193x1193,nu
https://www.alessandrodesign.ro/cdn/shop/files/b4b25579-5505-4463-bc97-eebf7a06fe66.png?v=1741771569&width=1445,width=1445,image/png,1104,200,image/png,1115,image/webp,75,1193x1193,nu
https://www.alessandrodesign.ro/cdn/shop/files/1cf474e9-8688-4aaf-9b27-ac56a04079fe.png?v=1742221682&width=1445,width=1445,image/png,1087,200,image/png,1152,image/webp,28,1088x1036,nu
https://www.alessandrodesign.ro/cdn/shop/files/1cf474e9-8688-4aaf-9b27-ac56a04079fe.png?v=1742221682&width=1946,width=1946,image/png,1087,200,image/png,1152,image/webp,28,1088x1036,nu
https://www.alessandrodesign.ro/cdn/shop/files/4dc41980-618f-443a-8f26-71d3e51073a8.png?v=1742395451&width=1946,width=1946,image/png,1065,200,image/png,1114,image/webp,71,1800x1800,nu
https://www.alessandrodesign.ro/cdn/shop/files/fb8a0054-3f48-4591-ad32-c80a25d66ef8.png?v=1741855453&width=1445,width=1445,image/png,1038,200,image/png,1110,image/webp,38,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/270532f8-7e77-40ab-8512-26ab649851d2.png?v=1741611768&width=1445,width=1445,image/png,1009,200,image/png,1032,image/webp,77,1235x1235,nu
https://www.alessandrodesign.ro/cdn/shop/files/270532f8-7e77-40ab-8512-26ab649851d2.png?v=1741611768&width=1946,width=1946,image/png,1009,200,image/png,1032,image/webp,77,1235x1235,nu
https://www.alessandrodesign.ro/cdn/shop/files/a3_8a38064d-b619-43fd-8680-0d0bfd72bab3.png?v=1741868410&width=1445,width=1445,image/png,997,404,text/html; charset=utf-8,0,text/html; charset=utf-8,0,,nu
https://www.alessandrodesign.ro/cdn/shop/files/dba0643e-8077-444d-bd39-838e573243cb.png?v=1742914830&width=1445,width=1445,image/png,973,200,image/png,1041,image/webp,31,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/Lustra_LED_cu_Telecomanda_DAISY_5_Elemente_72W_Lumina_Rece_Calda_Neutra_Dimabila_Alb_cu_Cristal.png?v=1742213949,original,image/png,921,200,image/png,939,image/webp,68,1873x1352,nu
https://www.alessandrodesign.ro/cdn/shop/files/Lustra_LED_cu_Telecomanda_DAISY_5_Elemente_72W_Lumina_Rece_Calda_Neutra_Dimabila_Alb_cu_Cristal.png?v=1742213949&width=2048,width=2048,image/png,921,200,image/png,939,image/webp,68,1873x1352,nu
https://www.alessandrodesign.ro/cdn/shop/files/Lustra_LED_cu_Telecomanda_DAISY_5_Elemente_72W_Lumina_Rece_Calda_Neutra_Dimabila_Alb_cu_Cristal.png?v=1742213949&width=1946,width=1946,image/png,921,200,image/png,939,image/webp,68,1873x1352,nu
https://www.alessandrodesign.ro/cdn/shop/files/Camera.jpg?v=1741883759,original,image/jpeg,904,200,image/jpeg,904,image/webp,698,2436x2435,DA
https://www.alessandrodesign.ro/cdn/shop/files/Lustra_LED_cu_Telecomanda_DAISY_5_Elemente_72W_Lumina_Rece_Calda_Neutra_Dimabila_Alb_cu_Cristal.png?v=1742213949&width=1445,width=1445,image/png,900,200,image/png,947,image/webp,39,1445x1043,nu
https://www.alessandrodesign.ro/cdn/shop/files/LustraLEDcutelecomandaAMI_50W_3Inimi_luminaRece_Calda_Neutra_Dimabila_Alb.png?v=1742219589&width=1445,width=1445,image/png,889,200,image/png,924,image/webp,56,1024x1024,nu
https://www.alessandrodesign.ro/cdn/shop/files/LustraLEDcutelecomandaAMI_50W_3Inimi_luminaRece_Calda_Neutra_Dimabila_Alb.png?v=1742219589&width=1946,width=1946,image/png,889,200,image/png,924,image/webp,56,1024x1024,nu
https://www.alessandrodesign.ro/cdn/shop/files/LustraLEDcutelecomandaAMI_50W_3Inimi_luminaRece_Calda_Neutra_Dimabila_Alb_2.png?v=1742219588&width=1946,width=1946,image/png,865,200,image/png,916,image/webp,44,1024x1024,nu
https://www.alessandrodesign.ro/cdn/shop/files/LustraLEDcutelecomandaAMI_50W_3Inimi_luminaRece_Calda_Neutra_Dimabila_Alb_2.png?v=1742219588&width=1445,width=1445,image/png,865,200,image/png,916,image/webp,44,1024x1024,nu
https://www.alessandrodesign.ro/cdn/shop/files/WPS_Photos_1.png?v=1741679369&width=1946,width=1946,image/png,832,200,image/png,885,image/webp,23,984x864,nu
https://www.alessandrodesign.ro/cdn/shop/files/WPS_Photos_1.png?v=1741679369&width=1445,width=1445,image/png,832,200,image/png,885,image/webp,23,984x864,nu
https://www.alessandrodesign.ro/cdn/shop/files/WPSPhotos_1_f79149e7-2f99-4f87-905b-d9ce162248b9.png?v=1742219996&width=1445,width=1445,image/png,831,200,image/png,865,image/webp,36,850x760,nu
https://www.alessandrodesign.ro/cdn/shop/files/WPSPhotos_1_f79149e7-2f99-4f87-905b-d9ce162248b9.png?v=1742219996&width=1946,width=1946,image/png,831,200,image/png,865,image/webp,36,850x760,nu
https://www.alessandrodesign.ro/cdn/shop/files/dba0643e-8077-444d-bd39-838e573243cb.png?v=1742914830&width=1946,width=1946,image/png,802,200,image/png,854,image/webp,45,1800x1800,nu
