url,format_audit,kb_audit
https://cdn.shopify.com/s/files/1/0782/5175/3739/files/Screenshot_2025-03-14_at_18.56.38.png?v=1741971429,image/png,570
https://cdn.shopify.com/s/files/1/0782/5175/3739/files/BANNER_LANDING_a61f486a-9ffa-42e5-8c02-53d09f4bd379.png?v=1740740700&width=2048,image/png,558
https://www.alessandrodesign.ro/cdn/shop/files/c7cbbbb7-5194-49b9-ad27-9c9dccf48022_78e46d19-2368-4be6-98bc-da285abf04cd.png?v=1741173492&width=1946,image/png,540
https://www.alessandrodesign.ro/cdn/shop/files/c7cbbbb7-5194-49b9-ad27-9c9dccf48022_78e46d19-2368-4be6-98bc-da285abf04cd.png?v=1741173492&width=2048,image/png,540
https://www.alessandrodesign.ro/cdn/shop/files/c7cbbbb7-5194-49b9-ad27-9c9dccf48022_78e46d19-2368-4be6-98bc-da285abf04cd.png?v=1741173492,image/png,540
https://www.alessandrodesign.ro/cdn/shop/files/c7cbbbb7-5194-49b9-ad27-9c9dccf48022_78e46d19-2368-4be6-98bc-da285abf04cd.png?v=1741173492&width=1445,image/png,540
https://www.alessandrodesign.ro/cdn/shop/files/metal-warehouse.jpg?v=1741134602&width=1500,image/jpeg,534
https://www.alessandrodesign.ro/cdn/shop/collections/super-oferta.png?v=1739985613&width=1500,image/png,530
https://www.alessandrodesign.ro/cdn/shop/files/a2_b302196a-83b0-40bd-bea1-13da4fd952c2.png?v=1742300304&width=1946,image/png,520
https://www.alessandrodesign.ro/cdn/shop/files/791b4ddc-aa6b-4ebc-ba71-7ff28d538c59.png?v=1741963690&width=1946,image/png,503
https://www.alessandrodesign.ro/cdn/shop/files/791b4ddc-aa6b-4ebc-ba71-7ff28d538c59.png?v=1741963690&width=1445,image/png,503
https://www.alessandrodesign.ro/cdn/shop/files/f834bb76-81d9-4e44-a7e7-8d7201ba7259.png?v=1741609718&width=533,image/png,494
https://cdn.shopify.com/s/files/1/0782/5175/3739/files/BANNER_COLLECTION_27c032b7-43af-4123-846e-fe3b0b8dcd1c.png?v=1740826953,image/png,487
https://www.alessandrodesign.ro/cdn/shop/files/Lustra_LED_NOOR_50W_lumina_Rece_Calda_Neutra_Alb-mockup.jpg?v=1742229929&width=1946,image/jpeg,472
https://www.alessandrodesign.ro/cdn/shop/files/cfff03bb-19a2-4241-8b93-616f2a284450.png?v=1742916003&width=1445,image/png,467
https://www.alessandrodesign.ro/cdn/shop/files/cfff03bb-19a2-4241-8b93-616f2a284450.png?v=1742916003&width=1946,image/png,467
https://www.alessandrodesign.ro/cdn/shop/files/a1_fcf0d8e2-0900-4c2a-b9b3-194cfc79c3a6.png?v=1741868409&width=1946,image/png,462
https://www.alessandrodesign.ro/cdn/shop/files/c2fa58d9-b53f-4e16-99d1-c0ecd42ee024.png?v=1741612200&width=533,image/png,431
https://www.alessandrodesign.ro/cdn/shop/files/8d1ac828-e333-4261-8ba1-d01451ff399f.png?v=1742372166&width=533,image/png,424
https://www.alessandrodesign.ro/cdn/shop/files/931629d1-83cb-44d1-9ede-4fb8ca0c9b25.png?v=1741681432&width=533,image/png,411
https://www.alessandrodesign.ro/cdn/shop/files/931629d1-83cb-44d1-9ede-4fb8ca0c9b25.png?v=1741681432&width=1946,image/png,411
https://www.alessandrodesign.ro/cdn/shop/files/931629d1-83cb-44d1-9ede-4fb8ca0c9b25.png?v=1741681432&width=1445,image/png,411
https://www.alessandrodesign.ro/cdn/shop/files/Untitled-1.png?v=1741961633&width=1946,image/png,408
https://i.ibb.co/kHpCZt4/IP20-ideal-interior.png,image/png,405
https://www.alessandrodesign.ro/cdn/shop/files/Untitled-1.png?v=1741961633&width=1445,image/png,399
https://www.alessandrodesign.ro/cdn/shop/files/Lustra_LED_MORNIKA_12W_lumina_Rece_Calda_Neutra_Alb-mockup2_1.png?v=1742225839&width=533,image/png,387
https://www.alessandrodesign.ro/cdn/shop/files/2f87295b-4943-4d2c-89da-42d91a97096f.png?v=1742220371&width=533,image/png,385
https://i.ibb.co/St4svsW/banner-telecomanda.png,image/png,379
https://www.alessandrodesign.ro/cdn/shop/files/WPSPhotos_1_90579005-d223-41b9-ba05-ccfd54e02ad0.png?v=1741680746&width=533,image/png,366
https://www.alessandrodesign.ro/cdn/shop/files/WPSPhotos_1_3be71866-3b80-45cb-905f-6f3cb2dffd5e.png?v=1741680722&width=533,image/png,366
https://www.alessandrodesign.ro/cdn/shop/files/WPSPhotos_1_223d43f7-6d63-4577-afff-f1a157e548d1.png?v=1741680681&width=533,image/png,366
https://www.alessandrodesign.ro/cdn/shop/files/f1ffa963-61d0-4ae8-9732-43907fc0db3c.png?v=1741681420&width=533,image/png,366
https://www.alessandrodesign.ro/cdn/shop/files/WPS_Photos_1_04e5d7fc-092c-40f6-9ee1-2b0c821fbd02.png?v=1742220537&width=1946,image/png,346
https://www.alessandrodesign.ro/cdn/shop/files/WPS_Photos_1_04e5d7fc-092c-40f6-9ee1-2b0c821fbd02.png?v=1742220537&width=1445,image/png,346
